Creating train lmdb...
I0418 11:28:18.756780 26014 convert_imageset.cpp:83] Shuffling data
I0418 11:28:19.363435 26014 convert_imageset.cpp:86] A total of 1281167 images.
I0418 11:28:19.363869 26014 db_lmdb.cpp:38] Opened lmdb examples/imagenet/ilsvrc12_train_lmdb
I0418 11:48:15.520035 26014 convert_imageset.cpp:144] Processed 66000 files.
I0418 11:48:32.532706 26014 convert_imageset.cpp:144] Processed 67000 files.
I0418 11:48:47.718505 26014 convert_imageset.cpp:144] Processed 68000 files.
I0418 11:49:08.446559 26014 convert_imageset.cpp:144] Processed 69000 files.
I0418 11:49:23.880282 26014 convert_imageset.cpp:144] Processed 70000 files.
I0418 11:49:47.306071 26014 convert_imageset.cpp:144] Processed 71000 files.
I0418 11:50:03.501899 26014 convert_imageset.cpp:144] Processed 72000 files.
I0418 11:50:22.316589 26014 convert_imageset.cpp:144] Processed 73000 files.
I0418 11:50:38.872539 26014 convert_imageset.cpp:144] Processed 74000 files.
I0418 11:50:58.412317 26014 convert_imageset.cpp:144] Processed 75000 files.
I0418 11:51:14.301271 26014 convert_imageset.cpp:144] Processed 76000 files.
I0418 11:51:34.120755 26014 convert_imageset.cpp:144] Processed 77000 files.
I0418 11:51:51.855873 26014 convert_imageset.cpp:144] Processed 78000 files.
I0418 11:52:08.544739 26014 convert_imageset.cpp:144] Processed 79000 files.
I0418 11:52:28.278642 26014 convert_imageset.cpp:144] Processed 80000 files.
I0418 11:52:47.772313 26014 convert_imageset.cpp:144] Processed 81000 files.
I0418 11:53:04.989032 26014 convert_imageset.cpp:144] Processed 82000 files.
I0418 11:53:25.445863 26014 convert_imageset.cpp:144] Processed 83000 files.
I0418 11:53:41.237972 26014 convert_imageset.cpp:144] Processed 84000 files.
I0418 11:54:01.618469 26014 convert_imageset.cpp:144] Processed 85000 files.
I0418 11:54:17.781643 26014 convert_imageset.cpp:144] Processed 86000 files.
I0418 11:54:37.144361 26014 convert_imageset.cpp:144] Processed 87000 files.
I0418 11:54:54.686182 26014 convert_imageset.cpp:144] Processed 88000 files.
I0418 11:55:14.229949 26014 convert_imageset.cpp:144] Processed 89000 files.
I0418 11:55:31.207423 26014 convert_imageset.cpp:144] Processed 90000 files.
I0418 11:55:49.779072 26014 convert_imageset.cpp:144] Processed 91000 files.
I0418 11:56:06.995956 26014 convert_imageset.cpp:144] Processed 92000 files.
I0418 11:56:26.451905 26014 convert_imageset.cpp:144] Processed 93000 files.
I0418 11:56:42.718729 26014 convert_imageset.cpp:144] Processed 94000 files.
I0418 11:57:02.321749 26014 convert_imageset.cpp:144] Processed 95000 files.
I0418 11:57:17.934713 26014 convert_imageset.cpp:144] Processed 96000 files.
I0418 11:57:37.573931 26014 convert_imageset.cpp:144] Processed 97000 files.
I0418 11:57:53.168637 26014 convert_imageset.cpp:144] Processed 98000 files.
I0418 11:58:13.849156 26014 convert_imageset.cpp:144] Processed 99000 files.
I0418 11:58:30.179239 26014 convert_imageset.cpp:144] Processed 100000 files.
I0418 11:58:51.255666 26014 convert_imageset.cpp:144] Processed 101000 files.
I0418 11:59:08.598739 26014 convert_imageset.cpp:144] Processed 102000 files.
I0418 11:59:27.259701 26014 convert_imageset.cpp:144] Processed 103000 files.
I0418 11:59:43.530654 26014 convert_imageset.cpp:144] Processed 104000 files.
I0418 12:00:03.032596 26014 convert_imageset.cpp:144] Processed 105000 files.
I0418 12:00:19.167520 26014 convert_imageset.cpp:144] Processed 106000 files.
I0418 12:00:40.562804 26014 convert_imageset.cpp:144] Processed 107000 files.
I0418 12:01:00.001193 26014 convert_imageset.cpp:144] Processed 108000 files.
I0418 12:01:16.456528 26014 convert_imageset.cpp:144] Processed 109000 files.
I0418 12:01:35.839895 26014 convert_imageset.cpp:144] Processed 110000 files.
I0418 12:01:52.225606 26014 convert_imageset.cpp:144] Processed 111000 files.
I0418 12:02:12.417882 26014 convert_imageset.cpp:144] Processed 112000 files.
I0418 12:02:28.605967 26014 convert_imageset.cpp:144] Processed 113000 files.
I0418 12:02:44.039115 26014 convert_imageset.cpp:144] Processed 114000 files.
I0418 12:03:04.718186 26014 convert_imageset.cpp:144] Processed 115000 files.
I0418 12:03:20.857753 26014 convert_imageset.cpp:144] Processed 116000 files.
I0418 12:03:41.987828 26014 convert_imageset.cpp:144] Processed 117000 files.
I0418 12:04:01.021066 26014 convert_imageset.cpp:144] Processed 118000 files.
I0418 12:04:17.315567 26014 convert_imageset.cpp:144] Processed 119000 files.
I0418 12:04:36.889914 26014 convert_imageset.cpp:144] Processed 120000 files.
I0418 12:04:53.555827 26014 convert_imageset.cpp:144] Processed 121000 files.
I0418 12:05:13.451391 26014 convert_imageset.cpp:144] Processed 122000 files.
I0418 12:05:30.041582 26014 convert_imageset.cpp:144] Processed 123000 files.
I0418 12:05:45.709448 26014 convert_imageset.cpp:144] Processed 124000 files.
I0418 12:06:05.112329 26014 convert_imageset.cpp:144] Processed 125000 files.
I0418 12:06:21.307865 26014 convert_imageset.cpp:144] Processed 126000 files.
I0418 12:06:42.424482 26014 convert_imageset.cpp:144] Processed 127000 files.
I0418 12:07:01.323587 26014 convert_imageset.cpp:144] Processed 128000 files.
I0418 12:07:18.719743 26014 convert_imageset.cpp:144] Processed 129000 files.
I0418 12:07:37.937719 26014 convert_imageset.cpp:144] Processed 130000 files.
I0418 12:07:54.454792 26014 convert_imageset.cpp:144] Processed 131000 files.
I0418 12:08:14.367432 26014 convert_imageset.cpp:144] Processed 132000 files.
I0418 12:08:30.575556 26014 convert_imageset.cpp:144] Processed 133000 files.
I0418 12:08:49.697393 26014 convert_imageset.cpp:144] Processed 134000 files.
I0418 12:09:07.058040 26014 convert_imageset.cpp:144] Processed 135000 files.
I0418 12:09:26.477944 26014 convert_imageset.cpp:144] Processed 136000 files.
I0418 12:09:45.517805 26014 convert_imageset.cpp:144] Processed 137000 files.
I0418 12:10:03.768168 26014 convert_imageset.cpp:144] Processed 138000 files.
I0418 12:10:19.525038 26014 convert_imageset.cpp:144] Processed 139000 files.
I0418 12:10:39.030321 26014 convert_imageset.cpp:144] Processed 140000 files.
I0418 12:10:54.313586 26014 convert_imageset.cpp:144] Processed 141000 files.
I0418 12:11:14.951287 26014 convert_imageset.cpp:144] Processed 142000 files.
I0418 12:11:30.665004 26014 convert_imageset.cpp:144] Processed 143000 files.
I0418 12:11:50.487747 26014 convert_imageset.cpp:144] Processed 144000 files.
I0418 12:12:08.127846 26014 convert_imageset.cpp:144] Processed 145000 files.
I0418 12:12:27.508199 26014 convert_imageset.cpp:144] Processed 146000 files.
I0418 12:12:46.513357 26014 convert_imageset.cpp:144] Processed 147000 files.
I0418 12:13:03.707708 26014 convert_imageset.cpp:144] Processed 148000 files.
I0418 12:13:23.063452 26014 convert_imageset.cpp:144] Processed 149000 files.
I0418 12:13:39.335932 26014 convert_imageset.cpp:144] Processed 150000 files.
I0418 12:13:58.957661 26014 convert_imageset.cpp:144] Processed 151000 files.
I0418 12:14:15.946357 26014 convert_imageset.cpp:144] Processed 152000 files.
I0418 12:14:34.748553 26014 convert_imageset.cpp:144] Processed 153000 files.
I0418 12:14:49.931653 26014 convert_imageset.cpp:144] Processed 154000 files.
I0418 12:15:10.443651 26014 convert_imageset.cpp:144] Processed 155000 files.
I0418 12:15:26.394002 26014 convert_imageset.cpp:144] Processed 156000 files.
I0418 12:15:46.052009 26014 convert_imageset.cpp:144] Processed 157000 files.
I0418 12:16:01.176292 26014 convert_imageset.cpp:144] Processed 158000 files.
I0418 12:16:22.150121 26014 convert_imageset.cpp:144] Processed 159000 files.
I0418 12:16:41.888198 26014 convert_imageset.cpp:144] Processed 160000 files.
I0418 12:16:58.111039 26014 convert_imageset.cpp:144] Processed 161000 files.
I0418 12:17:17.283227 26014 convert_imageset.cpp:144] Processed 162000 files.
I0418 12:17:34.265257 26014 convert_imageset.cpp:144] Processed 163000 files.
I0418 12:17:53.388993 26014 convert_imageset.cpp:144] Processed 164000 files.
I0418 12:18:10.357141 26014 convert_imageset.cpp:144] Processed 165000 files.
I0418 12:18:29.931483 26014 convert_imageset.cpp:144] Processed 166000 files.
I0418 12:18:46.089013 26014 convert_imageset.cpp:144] Processed 167000 files.
I0418 12:19:05.827545 26014 convert_imageset.cpp:144] Processed 168000 files.
I0418 12:19:21.264716 26014 convert_imageset.cpp:144] Processed 169000 files.
I0418 12:19:41.234536 26014 convert_imageset.cpp:144] Processed 170000 files.
I0418 12:19:56.763483 26014 convert_imageset.cpp:144] Processed 171000 files.
I0418 12:20:13.846704 26014 convert_imageset.cpp:144] Processed 172000 files.
I0418 12:20:33.303602 26014 convert_imageset.cpp:144] Processed 173000 files.
I0418 12:20:53.097749 26014 convert_imageset.cpp:144] Processed 174000 files.
I0418 12:21:10.818708 26014 convert_imageset.cpp:144] Processed 175000 files.
I0418 12:21:30.133821 26014 convert_imageset.cpp:144] Processed 176000 files.
I0418 12:21:47.685436 26014 convert_imageset.cpp:144] Processed 177000 files.
I0418 12:22:07.177222 26014 convert_imageset.cpp:144] Processed 178000 files.
I0418 12:22:22.725431 26014 convert_imageset.cpp:144] Processed 179000 files.
I0418 12:22:42.422516 26014 convert_imageset.cpp:144] Processed 180000 files.
I0418 12:22:58.390880 26014 convert_imageset.cpp:144] Processed 181000 files.
I0418 12:23:18.509843 26014 convert_imageset.cpp:144] Processed 182000 files.
I0418 12:23:35.105877 26014 convert_imageset.cpp:144] Processed 183000 files.
I0418 12:23:53.541862 26014 convert_imageset.cpp:144] Processed 184000 files.
I0418 12:24:11.278184 26014 convert_imageset.cpp:144] Processed 185000 files.
I0418 12:24:30.294725 26014 convert_imageset.cpp:144] Processed 186000 files.
I0418 12:24:46.071138 26014 convert_imageset.cpp:144] Processed 187000 files.
I0418 12:25:05.870093 26014 convert_imageset.cpp:144] Processed 188000 files.
I0418 12:25:21.537698 26014 convert_imageset.cpp:144] Processed 189000 files.
I0418 12:25:40.961133 26014 convert_imageset.cpp:144] Processed 190000 files.
I0418 12:25:56.874524 26014 convert_imageset.cpp:144] Processed 191000 files.
I0418 12:26:17.187940 26014 convert_imageset.cpp:144] Processed 192000 files.
I0418 12:26:33.260831 26014 convert_imageset.cpp:144] Processed 193000 files.
I0418 12:26:53.803148 26014 convert_imageset.cpp:144] Processed 194000 files.
I0418 12:27:10.501425 26014 convert_imageset.cpp:144] Processed 195000 files.
I0418 12:27:30.959686 26014 convert_imageset.cpp:144] Processed 196000 files.
I0418 12:27:46.827788 26014 convert_imageset.cpp:144] Processed 197000 files.
I0418 12:28:06.929203 26014 convert_imageset.cpp:144] Processed 198000 files.
I0418 12:28:22.567811 26014 convert_imageset.cpp:144] Processed 199000 files.
I0418 12:28:42.964336 26014 convert_imageset.cpp:144] Processed 200000 files.
I0418 12:28:58.700019 26014 convert_imageset.cpp:144] Processed 201000 files.
I0418 12:29:19.086730 26014 convert_imageset.cpp:144] Processed 202000 files.
I0418 12:29:38.540998 26014 convert_imageset.cpp:144] Processed 203000 files.
I0418 12:29:55.533339 26014 convert_imageset.cpp:144] Processed 204000 files.
I0418 12:30:12.706084 26014 convert_imageset.cpp:144] Processed 205000 files.
I0418 12:30:32.375501 26014 convert_imageset.cpp:144] Processed 206000 files.
I0418 12:30:47.745954 26014 convert_imageset.cpp:144] Processed 207000 files.
I0418 12:31:08.248214 26014 convert_imageset.cpp:144] Processed 208000 files.
I0418 12:31:25.042660 26014 convert_imageset.cpp:144] Processed 209000 files.
I0418 12:31:44.278568 26014 convert_imageset.cpp:144] Processed 210000 files.
I0418 12:32:03.674552 26014 convert_imageset.cpp:144] Processed 211000 files.
I0418 12:32:19.588671 26014 convert_imageset.cpp:144] Processed 212000 files.
I0418 12:32:40.327320 26014 convert_imageset.cpp:144] Processed 213000 files.
I0418 12:32:56.355120 26014 convert_imageset.cpp:144] Processed 214000 files.
I0418 12:33:13.111378 26014 convert_imageset.cpp:144] Processed 215000 files.
I0418 12:33:32.466944 26014 convert_imageset.cpp:144] Processed 216000 files.
I0418 12:33:48.716568 26014 convert_imageset.cpp:144] Processed 217000 files.
I0418 12:34:09.188490 26014 convert_imageset.cpp:144] Processed 218000 files.
I0418 12:34:28.811460 26014 convert_imageset.cpp:144] Processed 219000 files.
I0418 12:34:45.580193 26014 convert_imageset.cpp:144] Processed 220000 files.
I0418 12:35:05.771231 26014 convert_imageset.cpp:144] Processed 221000 files.
I0418 12:35:21.815284 26014 convert_imageset.cpp:144] Processed 222000 files.
I0418 12:35:41.555480 26014 convert_imageset.cpp:144] Processed 223000 files.
I0418 12:35:57.755825 26014 convert_imageset.cpp:144] Processed 224000 files.
I0418 12:36:17.494863 26014 convert_imageset.cpp:144] Processed 225000 files.
I0418 12:36:34.473601 26014 convert_imageset.cpp:144] Processed 226000 files.
I0418 12:36:54.388218 26014 convert_imageset.cpp:144] Processed 227000 files.
I0418 12:37:11.375589 26014 convert_imageset.cpp:144] Processed 228000 files.
I0418 12:37:31.363848 26014 convert_imageset.cpp:144] Processed 229000 files.
I0418 12:37:48.019923 26014 convert_imageset.cpp:144] Processed 230000 files.
I0418 12:38:07.573972 26014 convert_imageset.cpp:144] Processed 231000 files.
I0418 12:38:22.659898 26014 convert_imageset.cpp:144] Processed 232000 files.
I0418 12:38:43.791529 26014 convert_imageset.cpp:144] Processed 233000 files.
I0418 12:38:59.141150 26014 convert_imageset.cpp:144] Processed 234000 files.
I0418 12:39:20.175856 26014 convert_imageset.cpp:144] Processed 235000 files.
I0418 12:39:39.503012 26014 convert_imageset.cpp:144] Processed 236000 files.
I0418 12:39:56.197432 26014 convert_imageset.cpp:144] Processed 237000 files.
I0418 12:40:13.503129 26014 convert_imageset.cpp:144] Processed 238000 files.
I0418 12:40:28.927994 26014 convert_imageset.cpp:144] Processed 239000 files.
I0418 12:40:48.854085 26014 convert_imageset.cpp:144] Processed 240000 files.
I0418 12:41:09.340240 26014 convert_imageset.cpp:144] Processed 241000 files.
I0418 12:41:28.773802 26014 convert_imageset.cpp:144] Processed 242000 files.
I0418 12:41:45.841862 26014 convert_imageset.cpp:144] Processed 243000 files.
I0418 12:42:05.493221 26014 convert_imageset.cpp:144] Processed 244000 files.
I0418 12:42:22.186004 26014 convert_imageset.cpp:144] Processed 245000 files.
I0418 12:42:40.904487 26014 convert_imageset.cpp:144] Processed 246000 files.
I0418 12:42:57.501204 26014 convert_imageset.cpp:144] Processed 247000 files.
I0418 12:43:17.409152 26014 convert_imageset.cpp:144] Processed 248000 files.
I0418 12:43:34.705857 26014 convert_imageset.cpp:144] Processed 249000 files.
I0418 12:43:53.807688 26014 convert_imageset.cpp:144] Processed 250000 files.
I0418 12:44:10.057023 26014 convert_imageset.cpp:144] Processed 251000 files.
I0418 12:44:25.243331 26014 convert_imageset.cpp:144] Processed 252000 files.
I0418 12:44:45.873272 26014 convert_imageset.cpp:144] Processed 253000 files.
I0418 12:45:05.130699 26014 convert_imageset.cpp:144] Processed 254000 files.
I0418 12:45:20.758760 26014 convert_imageset.cpp:144] Processed 255000 files.
I0418 12:45:40.466492 26014 convert_imageset.cpp:144] Processed 256000 files.
I0418 12:45:57.664979 26014 convert_imageset.cpp:144] Processed 257000 files.
I0418 12:46:16.347373 26014 convert_imageset.cpp:144] Processed 258000 files.
I0418 12:46:32.947535 26014 convert_imageset.cpp:144] Processed 259000 files.
I0418 12:46:52.158393 26014 convert_imageset.cpp:144] Processed 260000 files.
I0418 12:47:08.083405 26014 convert_imageset.cpp:144] Processed 261000 files.
I0418 12:47:28.311939 26014 convert_imageset.cpp:144] Processed 262000 files.
I0418 12:47:44.717734 26014 convert_imageset.cpp:144] Processed 263000 files.
I0418 12:47:59.837167 26014 convert_imageset.cpp:144] Processed 264000 files.
I0418 12:48:20.303175 26014 convert_imageset.cpp:144] Processed 265000 files.
I0418 12:48:39.754629 26014 convert_imageset.cpp:144] Processed 266000 files.
I0418 12:48:54.939820 26014 convert_imageset.cpp:144] Processed 267000 files.
I0418 12:49:15.292839 26014 convert_imageset.cpp:144] Processed 268000 files.
I0418 12:49:31.609825 26014 convert_imageset.cpp:144] Processed 269000 files.
I0418 12:49:51.245599 26014 convert_imageset.cpp:144] Processed 270000 files.
I0418 12:50:07.038508 26014 convert_imageset.cpp:144] Processed 271000 files.
I0418 12:50:26.922080 26014 convert_imageset.cpp:144] Processed 272000 files.
I0418 12:50:42.240912 26014 convert_imageset.cpp:144] Processed 273000 files.
I0418 12:51:02.426870 26014 convert_imageset.cpp:144] Processed 274000 files.
I0418 12:51:21.988493 26014 convert_imageset.cpp:144] Processed 275000 files.
I0418 12:51:38.459399 26014 convert_imageset.cpp:144] Processed 276000 files.
I0418 12:51:57.464597 26014 convert_imageset.cpp:144] Processed 277000 files.
I0418 12:52:13.567919 26014 convert_imageset.cpp:144] Processed 278000 files.
I0418 12:52:32.697733 26014 convert_imageset.cpp:144] Processed 279000 files.
I0418 12:52:48.997040 26014 convert_imageset.cpp:144] Processed 280000 files.
I0418 12:53:08.740283 26014 convert_imageset.cpp:144] Processed 281000 files.
I0418 12:53:24.356828 26014 convert_imageset.cpp:144] Processed 282000 files.
I0418 12:53:43.390182 26014 convert_imageset.cpp:144] Processed 283000 files.
I0418 12:53:59.985939 26014 convert_imageset.cpp:144] Processed 284000 files.
I0418 12:54:19.582926 26014 convert_imageset.cpp:144] Processed 285000 files.
I0418 12:54:35.139068 26014 convert_imageset.cpp:144] Processed 286000 files.
I0418 12:54:51.350563 26014 convert_imageset.cpp:144] Processed 287000 files.
I0418 12:55:10.361210 26014 convert_imageset.cpp:144] Processed 288000 files.
I0418 12:55:26.581079 26014 convert_imageset.cpp:144] Processed 289000 files.
I0418 12:55:46.364800 26014 convert_imageset.cpp:144] Processed 290000 files.
I0418 12:56:05.382063 26014 convert_imageset.cpp:144] Processed 291000 files.
I0418 12:56:21.426625 26014 convert_imageset.cpp:144] Processed 292000 files.
I0418 12:56:40.867889 26014 convert_imageset.cpp:144] Processed 293000 files.
I0418 12:56:57.032244 26014 convert_imageset.cpp:144] Processed 294000 files.
I0418 12:57:16.055793 26014 convert_imageset.cpp:144] Processed 295000 files.
I0418 12:57:31.192360 26014 convert_imageset.cpp:144] Processed 296000 files.
I0418 12:57:51.766206 26014 convert_imageset.cpp:144] Processed 297000 files.
I0418 12:58:09.363734 26014 convert_imageset.cpp:144] Processed 298000 files.
I0418 12:58:28.177660 26014 convert_imageset.cpp:144] Processed 299000 files.
I0418 12:58:44.323122 26014 convert_imageset.cpp:144] Processed 300000 files.
I0418 12:59:03.755031 26014 convert_imageset.cpp:144] Processed 301000 files.
I0418 12:59:19.973399 26014 convert_imageset.cpp:144] Processed 302000 files.
I0418 12:59:39.126776 26014 convert_imageset.cpp:144] Processed 303000 files.
I0418 12:59:55.907673 26014 convert_imageset.cpp:144] Processed 304000 files.
I0418 13:00:15.127535 26014 convert_imageset.cpp:144] Processed 305000 files.
I0418 13:00:31.220818 26014 convert_imageset.cpp:144] Processed 306000 files.
I0418 13:00:50.066781 26014 convert_imageset.cpp:144] Processed 307000 files.
I0418 13:01:06.317865 26014 convert_imageset.cpp:144] Processed 308000 files.
I0418 13:01:21.561352 26014 convert_imageset.cpp:144] Processed 309000 files.
I0418 13:01:41.487507 26014 convert_imageset.cpp:144] Processed 310000 files.
I0418 13:01:56.781882 26014 convert_imageset.cpp:144] Processed 311000 files.
I0418 13:02:16.339834 26014 convert_imageset.cpp:144] Processed 312000 files.
I0418 13:02:36.147366 26014 convert_imageset.cpp:144] Processed 313000 files.
I0418 13:02:52.140682 26014 convert_imageset.cpp:144] Processed 314000 files.
I0418 13:03:10.985941 26014 convert_imageset.cpp:144] Processed 315000 files.
I0418 13:03:26.661636 26014 convert_imageset.cpp:144] Processed 316000 files.
I0418 13:03:46.113775 26014 convert_imageset.cpp:144] Processed 317000 files.
I0418 13:04:01.434934 26014 convert_imageset.cpp:144] Processed 318000 files.
I0418 13:04:20.638669 26014 convert_imageset.cpp:144] Processed 319000 files.
I0418 13:04:37.088618 26014 convert_imageset.cpp:144] Processed 320000 files.
I0418 13:04:55.996086 26014 convert_imageset.cpp:144] Processed 321000 files.
I0418 13:05:12.352478 26014 convert_imageset.cpp:144] Processed 322000 files.
I0418 13:05:31.858357 26014 convert_imageset.cpp:144] Processed 323000 files.
I0418 13:05:48.313779 26014 convert_imageset.cpp:144] Processed 324000 files.
I0418 13:06:07.156500 26014 convert_imageset.cpp:144] Processed 325000 files.
I0418 13:06:24.127260 26014 convert_imageset.cpp:144] Processed 326000 files.
I0418 13:06:43.513595 26014 convert_imageset.cpp:144] Processed 327000 files.
I0418 13:06:59.726130 26014 convert_imageset.cpp:144] Processed 328000 files.
I0418 13:07:19.174054 26014 convert_imageset.cpp:144] Processed 329000 files.
I0418 13:07:35.665169 26014 convert_imageset.cpp:144] Processed 330000 files.
I0418 13:07:56.016098 26014 convert_imageset.cpp:144] Processed 331000 files.
I0418 13:08:12.610199 26014 convert_imageset.cpp:144] Processed 332000 files.
I0418 13:08:27.948119 26014 convert_imageset.cpp:144] Processed 333000 files.
I0418 13:08:47.941983 26014 convert_imageset.cpp:144] Processed 334000 files.
I0418 13:09:03.321424 26014 convert_imageset.cpp:144] Processed 335000 files.
I0418 13:09:22.799727 26014 convert_imageset.cpp:144] Processed 336000 files.
I0418 13:09:42.016062 26014 convert_imageset.cpp:144] Processed 337000 files.
I0418 13:09:57.500396 26014 convert_imageset.cpp:144] Processed 338000 files.
I0418 13:10:17.228770 26014 convert_imageset.cpp:144] Processed 339000 files.
I0418 13:10:31.850150 26014 convert_imageset.cpp:144] Processed 340000 files.
I0418 13:10:53.057657 26014 convert_imageset.cpp:144] Processed 341000 files.
I0418 13:11:07.916271 26014 convert_imageset.cpp:144] Processed 342000 files.
I0418 13:11:27.905697 26014 convert_imageset.cpp:144] Processed 343000 files.
I0418 13:11:44.575235 26014 convert_imageset.cpp:144] Processed 344000 files.
I0418 13:12:03.613976 26014 convert_imageset.cpp:144] Processed 345000 files.
I0418 13:12:19.105387 26014 convert_imageset.cpp:144] Processed 346000 files.
I0418 13:12:38.674577 26014 convert_imageset.cpp:144] Processed 347000 files.
I0418 13:12:53.773746 26014 convert_imageset.cpp:144] Processed 348000 files.
I0418 13:13:13.534160 26014 convert_imageset.cpp:144] Processed 349000 files.
I0418 13:13:30.810789 26014 convert_imageset.cpp:144] Processed 350000 files.
I0418 13:13:49.808997 26014 convert_imageset.cpp:144] Processed 351000 files.
